Diazepam_202 DILI = 0.7698, Ames = 0.1150, hERG = 0.8007, CYP3A4 = 0.4738, Teratogenicity = 0.4761
Lorazepam_203 DILI = 0.9635, Ames = 0.0756, hERG = 0.3422, CYP3A4 = 0.4311, Teratogenicity = 0.5914
Alprazolam_204 DILI = 0.5633, Ames = 0.0687, hERG = 0.8829, CYP3A4 = 0.6476, Teratogenicity = 0.6060
Zolpidem_205 DILI = 0.8479, Ames = 0.3706, hERG = 0.7929, CYP3A4 = 0.5691, Teratogenicity = 0.3928
Haloperidol_206 DILI = 0.2628, Ames = 0.0440, hERG = 0.9453, CYP3A4 = 0.4750, Teratogenicity = 0.8410
Risperidone_207 DILI = 0.8357, Ames = 0.0676, hERG = 0.9553, CYP3A4 = 0.5222, Teratogenicity = 0.7864
Quetiapine_208 DILI = 0.7165, Ames = 0.0692, hERG = 0.8054, CYP3A4 = 0.6219, Teratogenicity = 0.3678
Carbamazepine_209 DILI = 0.8981, Ames = 0.5293, hERG = 0.6155, CYP3A4 = 0.5834, Teratogenicity = 0.5021
Valproate_210 DILI = 0.0438, Ames = 0.0360, hERG = 0.0769, CYP3A4 = 0.0784, Teratogenicity = 0.3997
Lamotrigine_211 DILI = 0.9267, Ames = 0.7459, hERG = 0.0573, CYP3A4 = 0.1594, Teratogenicity = 0.5402
Levetiracetam_212 DILI = 0.0752, Ames = 0.1727, hERG = 0.0413, CYP3A4 = 0.0183, Teratogenicity = 0.3576
Gabapentin_213 DILI = 0.0630, Ames = 0.0462, hERG = 0.0595, CYP3A4 = 0.0285, Teratogenicity = 0.5683
Pregabalin_214 DILI = 0.0179, Ames = 0.1390, hERG = 0.0144, CYP3A4 = 0.0124, Teratogenicity = 0.3605
Donepezil_215 DILI = 0.2840, Ames = 0.0305, hERG = 0.9392, CYP3A4 = 0.7775, Teratogenicity = 0.2701
Memantine_216 DILI = 0.0788, Ames = 0.1491, hERG = 0.2831, CYP3A4 = 0.1508, Teratogenicity = 0.7242
Methylphenidate_217 DILI = 0.2314, Ames = 0.0528, hERG = 0.3130, CYP3A4 = 0.2529, Teratogenicity = 0.4256
Bupropion_218 DILI = 0.2199, Ames = 0.0830, hERG = 0.4245, CYP3A4 = 0.3046, Teratogenicity = 0.4882
Fluconazole_219 DILI = 0.4006, Ames = 0.2742, hERG = 0.3481, CYP3A4 = 0.9072, Teratogenicity = 0.6961
Clotrimazole_220 DILI = 0.4498, Ames = 0.1459, hERG = 0.8299, CYP3A4 = 0.9222, Teratogenicity = 0.4909
Acyclovir_221 DILI = 0.9725, Ames = 0.3078, hERG = 0.0469, CYP3A4 = 0.0262, Teratogenicity = 0.2962
